cluster,countries,n,mean_alcohol,mean_happiness
0,"['Sierra Leone', 'Singapore', 'Zimbabwe', 'Tajikistan', 'Togo', 'United Arab Emirates', 'Tunisia', 'Türkiye', 'Uganda', 'North Macedonia', 'Egypt', 'Burkina Faso', 'Uzbekistan', 'Zambia', 'Ghana', 'Guatemala', 'Guinea', 'Honduras', 'India', 'Indonesia', 'Iraq', 'Jamaica', 'Jordan', 'Kenya', 'Kyrgyzstan', 'Lebanon', 'Liberia', 'Madagascar', 'Malawi', 'Malaysia', 'Mali', 'Mauritania', 'Morocco', 'Mozambique', 'Nepal', 'Niger', 'Nigeria', 'Pakistan', 'Philippines', 'Senegal', 'Algeria', 'Bahrain', 'Bangladesh', 'Armenia', 'Botswana', 'Myanmar', 'Cambodia', 'Sri Lanka', 'Chad', 'China', 'Colombia', 'Comoros', 'Congo', 'Benin', 'Dominican Republic', 'Ecuador', 'El Salvador', 'Ethiopia', 'Gambia', 'Afghanistan', 'Albania']",61,2.618705549262295,4.768459016393442
1,"['Serbia', 'Slovakia', 'Viet Nam', 'Slovenia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Ukraine', 'Uruguay', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Republic of Korea', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Mauritius', 'Mexico', 'Mongolia', 'Republic of Moldova', 'Montenegro', 'Namibia', 'New Zealand', 'Nicaragua', 'Norway', 'Panama', 'Paraguay', 'Peru', 'Poland', 'Portugal', 'Romania', 'Russian Federation', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bosnia and Herzegovina', 'Brazil', 'Bulgaria', 'Cameroon', 'Canada', 'Chile', 'Costa Rica', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Gabon', 'Georgia', 'Germany']",61,9.220621233967213,6.304344262295082
